polymer conc,Rejection,polymer conc,Resistancce,polymer conc,poresize
10.10610809,88.93657855,2.074642483,15.56284362,9.38008396,13.61775809
10.32081581,88.86167737,2.11169824,15.49825136,9.453008178,13.65196485
10.46395429,88.79923204,2.130226118,15.41215646,9.550244602,13.67476245
10.63094919,88.73680516,2.185809753,15.34754733,9.623170887,13.6975635
10.79794408,88.66186707,2.204337631,15.29373169,9.744713317,13.74316906
10.98879539,88.58694744,2.259921266,15.21836281,9.841951807,13.75456095
11.13193388,88.52450211,2.278449144,15.14302766,9.939188231,13.77735855
11.27507236,88.47456799,2.361455488,15.0538741,10.03642465,13.80015615
11.46592367,88.39964835,2.398501534,14.92522307,10.10934887,13.83436291
11.70448781,88.2997432,2.479073523,14.83156806,10.15796915,13.83435601
11.84762629,88.24980908,2.479073523,14.71459098,10.25520144,13.87996502
12.06233401,88.1749079,2.559645511,14.57414514,10.37441258,13.91938605
12.20547249,88.11246257,2.6402175,14.45709472,10.51077139,13.94780159
12.32475456,88.04999879,2.680503495,14.29329013,10.64712506,14.00465204
12.53946229,87.98760882,2.761075484,14.1528443,10.79863414,14.04017415
12.7303136,87.90017797,2.841647473,13.96560762,10.96529348,14.08280284
12.92116491,87.82525834,2.922219462,13.82516179,11.08649945,14.11832926
13.11201622,87.7503387,3.024836654,13.73682355,11.22285569,14.16096225
13.32672394,87.6504151,3.084097887,13.56469477,11.35921322,14.19648651
13.51757525,87.60051789,3.084097887,13.49586483,11.45011738,14.22490851
13.66071373,87.55058377,3.14335912,13.42698095,11.5258687,14.26044138
13.75613939,87.50061274,3.14335912,13.35815101,11.57131949,14.28176111
13.87542146,87.45066017,3.202620354,13.28926713,11.66222493,14.30307437
14.01855994,87.40072604,3.261881587,13.15155332,11.79858375,14.33148991
14.13784201,87.36328468,3.32114282,13.08266944,11.88948791,14.35991191
14.25712408,87.3008209,3.32114282,13.0138395,12.01069517,14.3883296
14.40026256,87.23837557,3.380404053,12.84171072,12.11674959,14.42385817
14.59111387,87.16345593,3.439665287,12.7039969,12.23795686,14.45227586
14.75810876,87.11354026,3.49892652,12.53186812,12.34401257,14.4806957
14.87739083,87.03856527,3.617448986,12.35968539,12.46521983,14.50911339
15.02052932,86.96360873,3.676710219,12.22197157,12.52830888,14.53169137
15.11595497,86.92614891,3.735971453,12.08425776,12.59577918,14.5570078
15.25909345,86.83868116,3.795232686,11.94654394,12.69023828,14.5886519
15.42608835,86.75123187,3.854493919,11.80883013,12.77120469,14.60763491
15.56922683,86.67627532,3.913755152,11.67111631,12.87916107,14.62661409
15.6885089,86.58878912,3.973016386,11.49898753,12.94662907,14.66459352
15.83164738,86.51383258,4.091538852,11.39563474,13.0363441,14.68984498
15.95092945,86.43885759,4.210061319,11.22345201,13.096851,14.71467801
16.07021152,86.3763938,4.210061319,11.1202071,13.17248704,14.73241128
16.21335,86.28892605,4.269322552,11.01690826,13.26325029,14.75369121
16.30877566,86.21393261,4.387845018,10.84472553,13.30862934,14.77852639
16.42805773,86.15146882,4.447106251,10.63818178,13.36913818,14.79271301
16.54733979,86.08900504,4.547728323,10.4781051,13.42964637,14.81044843
16.66662186,86.00151883,4.638925123,10.31913905,13.49771912,14.82463397
16.76204752,85.9390366,4.707322723,10.06751197,13.56579188,14.83881952
16.905186,85.86408006,4.752921124,9.882106919,13.64142599,14.8671992
17.02446807,85.78910506,4.866917124,9.736360367,13.73975381,14.88492925
17.11989372,85.72662283,5.026511524,9.471410027,13.79269614,14.91331216
17.23917579,85.66415904,5.231704324,9.285859703,13.88345746,14.9452385
17.35845786,85.57667284,5.414097925,9.113570386,13.98934985,14.95941867
17.47773993,85.51420906,5.528093925,8.99430434,14.08010988,14.99844262
17.597022,85.45174527,5.642089925,8.888278548,14.14818199,15.01617697
17.69244765,85.37675183,5.756085925,8.808733264,14.22381675,15.04100785
17.83558614,85.30179528,5.915680326,8.71590622,14.30701607,15.06228885
18.00258103,85.20183478,6.052475526,8.623099929,14.3675249,15.07647547
18.1218631,85.12685978,6.212069926,8.556753392,14.42046981,15.09066317
18.24114517,85.07690721,6.303266726,8.490469113,14.49610521,15.11194524
18.33657082,84.98940255,6.485660327,8.424101824,14.5717406,15.13322732
18.45585289,84.92693877,6.645254727,8.344515033,14.63981143,15.15805928
18.55127855,84.85194532,6.804849127,8.264928243,14.70788226,15.18289123
18.67056062,84.80199275,6.964443527,8.185341453,14.76838981,15.20417546
18.74212986,84.75200327,7.124037928,8.118994916,14.8062075,15.2148165
18.86141193,84.67702827,7.352029928,8.026105614,14.87427898,15.23609965
18.98069399,84.60205328,7.466025928,7.959800583,14.9272226,15.25738495
19.12383248,84.51458553,7.602821129,7.880234545,14.98773079,15.27512037
19.26697096,84.42711778,7.762415529,7.800647755,15.03311177,15.28930914
19.43396586,84.32715727,7.944809129,7.694559705,15.0936206,15.30349576
19.57710434,84.26471194,8.19560033,7.575169143,15.13900094,15.32123333
